spain transport       {'weight': 2}
spain offered         {'weight': 2}
spain 1713            {'weight': 2}
spain 2005            {'weight': 2}
spain building        {'weight': 2}
spain e               {'weight': 2}
spain ranks           {'weight': 2}
spain barcelona       {'weight': 2}
spain four            {'weight': 1}
spain cyprus          {'weight': 1}
spain guadiana        {'weight': 1}
spain nigerians       {'weight': 1}
spain reported        {'weight': 1}
spain sizeable        {'weight': 1}
spain northerncentral {'weight': 1}
spain until           {'weight': 1}
spain holy            {'weight': 1}
spain populations     {'weight': 1}
spain 97              {'weight': 1}
spain example         {'weight': 1}
spain absolute        {'weight': 1}
spain provincial      {'weight': 1}
spain feature         {'weight': 1}
spain patrimony       {'weight': 1}
spain keeps           {'weight': 1}
spain democratic      {'weight': 1}
spain wine            {'weight': 1}
spain welcomed        {'weight': 1}
spain represents      {'weight': 1}
spain financial       {'weight': 1}
spain nations         {'weight': 1}
spain meseta          {'weight': 1}
spain absorber        {'weight': 1}
spain object          {'weight': 1}
spain 108109          {'weight': 1}
spain net             {'weight': 1}
spain ebro            {'weight': 1}
spain 2nd             {'weight': 1}
spain union           {'weight': 1}
spain much            {'weight': 1}
spain gobierno        {'weight': 1}
spain fairly          {'weight': 1}
spain espaolas        {'weight': 1}
spain birth           {'weight': 1}
spain steps           {'weight': 1}
spain right           {'weight': 1}
spain warring         {'weight': 1}
spain call            {'weight': 1}
spain vanguard        {'weight': 1}
spain 156             {'weight': 1}
spain ambitious       {'weight': 1}
spain muslims         {'weight': 1}
spain threemonth      {'weight': 1}
spain selfgovernment  {'weight': 1}
spain judaism         {'weight': 1}
spain current         {'weight': 1}
spain falling         {'weight': 1}
spain boost           {'weight': 1}
spain agreement       {'weight': 1}
spain alone           {'weight': 1}
spain along           {'weight': 1}
spain santa           {'weight': 1}
spain explicitly      {'weight': 1}
spain films           {'weight': 1}
spain divided         {'weight': 1}
spain 3718metre       {'weight': 1}
spain noteworthy      {'weight': 1}
spain years           {'weight': 1}
spain pieds           {'weight': 1}
spain decades         {'weight': 1}
spain amnesty         {'weight': 1}
spain massive         {'weight': 1}
spain city            {'weight': 1}
spain structured      {'weight': 1}
spain san             {'weight': 1}
spain fragmented      {'weight': 1}
spain tenerife        {'weight': 1}
spain jobs            {'weight': 1}
spain spainwill       {'weight': 1}
spain gdp             {'weight': 1}
spain traffic         {'weight': 1}
spain 63              {'weight': 1}
spain october         {'weight': 1}
spain certain         {'weight': 1}
spain congress        {'weight': 1}
spain l61             {'weight': 1}
spain returned        {'weight': 1}
spain parliaments     {'weight': 1}
spain joined          {'weight': 1}
spain small           {'weight': 1}
spain prior           {'weight': 1}
spain reactors        {'weight': 1}
spain respective      {'weight': 1}
spain plant           {'weight': 1}
spain w               {'weight': 1}
spain typhoon         {'weight': 1}
spain plan            {'weight': 1}
spain abroad365366367 {'weight': 1}
spain occupation      {'weight': 1}
